"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TC011101",-0.0116736690653377,3.73440661284482,-0.268663775694897,0.788305594177913,0.827975254725677,-7.54828068392635
"TC009337",0.0161000282259004,5.14253079541852,0.779771639825067,0.435915382669278,0.504733098114231,-7.54865575331547
"TC016030",-0.00132587374693147,3.56235547741754,-0.0164684120206848,0.986867647810451,0.98974854208605,-7.54971710045891
"TC005228",-0.0142035427665056,4.07004998064035,-0.45004163690186,0.652886646540663,0.709567176634708,-7.55042851034256
"TC011389",-0.0264846473886314,6.34473026870023,-0.897759046155261,0.369770855544331,0.438259070300204,-7.55075357684218
"TC001207",-0.0274676826758403,4.49636027665657,-0.616122006463577,0.53811044464628,0.603619978099399,-7.55091912552508
"TC002857",-0.0202067999238203,6.26414534164865,-0.899358823855947,0.368919280914137,0.437292805122929,-7.55124386470581
"TC009413",0.0126615139744827,7.58845278531306,0.875076772670162,0.381976356861149,0.450817450576128,-7.55124575780624
"TC006039",0.016156857362384,4.71955068931424,0.674132109056518,0.500556713543853,0.56848401557984,-7.55139688517986
"TC013564",-0.0131833573058229,4.17383417292077,-0.490722533936362,0.62385033260329,0.683313283814591,-7.55157311944183
"TC001866",0.0144219977434086,3.92411037203599,0.377139978327022,0.706238765449266,0.757409395287099,-7.55171998657972
"TC030659",-0.0218890103927056,4.54440625186525,-0.622853454382925,0.533681068310316,0.599936628923843,-7.55214011611121
"TC003616",0.0137078338070944,4.69599301971203,0.666255381763175,0.505572765457019,0.573315707570516,-7.55220610411923
"TC007308",-0.0185158902580668,5.20738663342764,-0.786335002256302,0.432065099154835,0.500901038613946,-7.55226816607618
"TC003222",-0.013078559764246,6.76279733385608,-0.899881676413161,0.368641227814355,0.437049252467836,-7.55309827001913
"TC008140",-0.00609248179176293,3.64240725339233,-0.179735007858426,0.85743759636413,0.88643840441353,-7.55317524312828
"TC008934",-0.0169343490341389,6.54344624249499,-0.900510060536054,0.368307226134459,0.436782267290722,-7.55318089187346
"TC006647",-0.0337844942708066,5.17731571264923,-0.780360800003799,0.435568953269358,0.504477486461134,-7.55341134971473
"TC009559",-0.019633430578886,4.80665404477201,-0.694936997114414,0.487436088390709,0.55557380394561,-7.55371746006226
"TC014336",0.00585197746777026,3.67596302907101,0.194990172773801,0.845484385747729,0.876186942393933,-7.55372583446443
"TC009438",-0.0408953664140851,8.33029194025389,-0.838512727701807,0.402166431980566,0.471137192640268,-7.55393430563394
"TC008531",-0.0194534862432755,4.97250779105626,-0.734377770655191,0.463082503526843,0.531842703602305,-7.55434915992304
"TC013369",0.0186262400390992,6.44059096647346,0.897250681982627,0.37004171829581,0.438450650672614,-7.55436017748357
"TC008787",-0.0253829691044298,5.33314022721841,-0.800947130589687,0.423564475168305,0.492499178877411,-7.55686646546834
"TC003544",0.0218995323583587,4.25532451374206,0.511860549111135,0.608987549847113,0.669041877650865,-7.55688453210609
"TC005832",-0.0150761291728176,5.51907964990111,-0.831412810851632,0.406160064168368,0.47526094566456,-7.55823809217631
"TC015142",-0.0190637899526163,6.64627269547876,-0.8930812404112,0.372267912422594,0.440914876996981,-7.55869824849085
"TC014416",0.0207002064397734,6.75630842706084,0.892060448343827,0.372814211342406,0.441421512984215,-7.55916478896028
"TC030657",0.0213172338765026,4.68956388660871,0.653810967919764,0.513551391089222,0.580559410765747,-7.55924725691363
"TC015811",-0.0247952399435493,4.98633503385518,-0.729627165808372,0.465979351235626,0.534761704491199,-7.55933437365896
"TC006689",-0.000129841606811378,3.57566565361286,-0.00288234138645875,0.997701442966583,0.997950039671642,-7.55995276327633
"TC014865",0.0184793959838358,3.88037244881962,0.335352610555078,0.737507826090833,0.783850211774062,-7.56014037459454
"TC015302",0.013797564193378,4.95006430582733,0.720418749559622,0.471623150948697,0.539952239459564,-7.56091033861065
"TC014205",-0.0111709444402457,4.16791711381584,-0.466762868592375,0.640884506668541,0.69841390949319,-7.56118718052022
"TC011451",-0.0110868052644053,3.97286551719715,-0.373767726844773,0.708744642727138,0.759513412739181,-7.56157972734759
"TC001287",-0.00949194049493916,3.80614814490677,-0.270393260217031,0.786975690587369,0.827083361702041,-7.56176425914332
"TC016093",0.00970799987615611,3.90486864775226,0.329209432857316,0.74214314554955,0.788081289291353,-7.56278292592129
"TC006598",0.0404530257481458,4.57483662716819,0.616499015909765,0.537861879319952,0.603548056962027,-7.56302191235513
"TC013648",0.0232392241198873,7.03541038437227,0.882037768794901,0.378204490759564,0.446979065968344,-7.56341003032171
"TC003425",-0.0244163704353055,5.59898255376169,-0.832891139356442,0.40532656685711,0.474331731091262,-7.5635298956531
"TC013339",-0.019553288673989,5.63915836076979,-0.83857005566297,0.402134282031588,0.471137192640268,-7.56353416576792
"TC008475",0.0147132067356968,4.96103072953931,0.717726437441868,0.473280372329053,0.541605295382147,-7.56361201812269
"TC004120",-0.0318631548706128,4.74021852402183,-0.66053620350979,0.509231416832097,0.576497949385865,-7.56374016916304
"TC010446",0.00264491239821801,3.64788058664083,0.0762605349101302,0.939244074696205,0.952291327796463,-7.56414433447777
"TC010104",-0.019515018600083,4.85862933342689,-0.691544755074221,0.489562622565384,0.557786439314562,-7.56476365640944
"TC013242",-0.0215564558252607,4.88938790154697,-0.699561592577797,0.484545091892552,0.552959020341325,-7.56500144092638
"TC005667",-0.0334756798197248,5.83344755109838,-0.85157744332469,0.394879683883244,0.463683310550498,-7.56514195689257
"TC001976",0.0187466513420015,8.34779062604066,0.823068766243931,0.410883742464062,0.479902328629104,-7.56558060074028
"TC012032",-0.0280934051556617,5.57226633277526,-0.826649368732381,0.408852718078762,0.477930448859067,-7.56558371664569
"TC007912",-0.0445458554438289,4.35443452886696,-0.536554666188308,0.591827581394468,0.653708113614012,-7.56612511485486
"TC001713",-0.0159339819717858,4.5849670669352,-0.6101435829156,0.542059780465602,0.607201742735304,-7.56706164628941
"TC006180",-0.0185996295882584,5.81260549520854,-0.852906863089675,0.394142726008834,0.462953364802925,-7.56725719949769
"TC009314",-0.0231812774033668,6.22955145068972,-0.877395752789581,0.38071723744224,0.449544783382457,-7.56909555347742
"TC001089",-0.0145481402361246,4.62144528985863,-0.617016789856269,0.537520601111998,0.60340027933988,-7.56933547428077
"TC008775",-0.00556214256560546,3.70678690442116,-0.126293642076799,0.899553165738216,0.9201833666003,-7.5699222736752
"TC011950",-0.0147548806967745,4.20899900093247,-0.46455929429033,0.642460894537386,0.699865229367658,-7.56995692010105
"TC006118",-0.0196682095911229,4.46199857515385,-0.566792802040154,0.571123875173351,0.634038055744161,-7.57008289025486
"TC007940",-0.019725456282534,4.50841240346879,-0.579206288932661,0.562725779986124,0.626736943343466,-7.57056102917591
"TC005288",0.0186787081235337,5.06409274129013,0.733764455679922,0.463455926735805,0.532187296097457,-7.5707706385179
"TC005848",-0.00911623392169999,3.75260910923387,-0.181948587359762,0.855701038710897,0.885098995894128,-7.57159343412129
"TC007691",-0.0107122367327307,3.86081830489786,-0.281984591329573,0.77807868666158,0.818733213059451,-7.57253674938938
"TC006216",0.00723136069457018,3.89755144143364,0.292824958610518,0.769784391926096,0.811849849546018,-7.57256842941514
"TC008803",-0.0371539283744605,7.54933935282685,-0.851950203941273,0.394672961427375,0.463485760552889,-7.57277171997688
"TC000768",-0.0199899208884863,4.30399258526213,-0.503980324573394,0.614509910167901,0.674739501107953,-7.57292058468062
