Sample	FitnessAssay	Library	Sequencing	Time	Condition
994-2CT	M3.T2.A	Lib8.B	NS79	Feb.17	CT
1073-2CT	M3.T3.A	Lib8.B	NS79	Feb.17	CT
511-4HD	M2.T3.B	Lib1.B	NS80	Feb.17	HD
119-3CT	M1.T3.A	Lib2.B	NS80	Feb.17	CT
281-3CT	M1.T3.A	Lib2.B	NS80	Feb.17	CT
698-3CT	M2.T4.A	Lib2.B	NS80	Feb.17	CT
730-3CT	M2.T3.A	Lib2.B	NS80	Feb.17	CT
878-3CT	M3.T2.A	Lib2.B	NS80	Feb.17	CT
1097-3CT	M3.T1.A	Lib2.B	NS80	Feb.17	CT
7-3CT	M1.T1.A	Lib3.B	NS80	Feb.17	CT
512-3CT	M2.T4.A	Lib3.B	NS80	Feb.17	CT
866-4CT	M3.T4.A	Lib3.B	NS80	Feb.17	CT
1065-3CT	M3.T3.A	Lib3.B	NS80	Feb.17	CT
226-1CT	M1.T3.A	Lib4.B	NS80	Feb.17	CT
226-3CT	M1.T3.A	Lib4.B	NS80	Feb.17	CT
226-2HD	M1.T2.B	Lib4.B	NS80	Feb.17	HD
226-4HD	M1.T2.B	Lib4.B	NS80	Feb.17	HD
986-1CT	M3.T2.A	Lib4.B	NS80	Feb.17	CT
141-1HD	M1.T2.B	Lib5.B	NS80	Feb.17	HD
534-1CT	M2.T4.A	Lib5.B	NS80	Feb.17	CT
534-1HD	M2.T1.B	Lib5.B	NS80	Feb.17	HD
619-4CT	M2.T3.A	Lib5.B	NS80	Feb.17	CT
619-1CT	M2.T3.A	Lib5.B	NS80	Feb.17	CT
986-2HD	M3.T4.B	Lib5.B	NS80	Feb.17	HD
374-2CT	M1.T1.A	Lib6.B	NS80	Feb.17	CT
374-1HD	M1.T3.B	Lib6.B	NS80	Feb.17	HD
512-2HD	M2.T3.B	Lib6.B	NS80	Feb.17	HD
752-2CT	M3.T4.A	Lib6.B	NS80	Feb.17	CT
752-1HD	M3.T2.B	Lib6.B	NS80	Feb.17	HD
879-4CT	M3.T4.A	Lib6.B	NS80	Feb.17	CT
18-4CT	M1.T4.A	Lib7.B	NS80	Feb.17	CT
18-3HD	M1.T2.B	Lib7.B	NS80	Feb.17	HD
