Sample	Sample2	Selection	Treatment	group	batch	batch2
M2HD-5-2HD	Mx2HD-5-2HD	HD	HD	HD.HD	NS212	year2018
M1CT-1-4CT	Mx1CT-1-4CT	CT	CT	CT.CT	NS212	year2018
M1CT-1-1HD	Mx1CT-1-1HD	CT	HD	CT.HD	NS212	year2018
M1CT-1-4HD	Mx1CT-1-4HD	CT	HD	CT.HD	NS212	year2018
M2HD-5-3HD	Mx2HD-5-3HD	HD	HD	HD.HD	NS212	year2018
L6CT-8-1D	L6CT-8-1D	CT	D	CT.D	NS212	year2018
M1CT-1-2CT	Mx1CT-1-2CT	CT	CT	CT.CT	NS212	year2018
L6CT-8-1_HD	L6CT-8-1_HD	CT	HD	CT.HD	NS212	year2018
M2HD-5-1CT	Mx2HD-5-1CT	HD	CT	HD.CT	NS212	year2018
M2HD-5-4HD	Mx2HD-5-4HD	HD	HD	HD.HD	NS212	year2018
M2HD-5-4CT	Mx2HD-5-4CT	HD	CT	HD.CT	NS212	year2018
M3CT-11-2CT	Mx3CT-11-2CT	CT	CT	CT.CT	NS212	year2018
L3CT-5-1D	L3CT-5-1D	CT	D	CT.D	NS212	year2018
L3-CT-5-4H	L3-CT-5-4H	CT	H	CT.H	NS212	year2018
L6CT-8-3D	L6CT-8-3D	CT	D	CT.D	NS212	year2018
L6CT-8-1H	L6CT-8-1H	CT	H	CT.H	NS212	year2018
M1HD-3-4HD	Mx1HD-3-4HD	HD	HD	HD.HD	NS212	year2018
M2HD-5-1HD	Mx2HD-5-1HD	HD	HD	HD.HD	NS212	year2018
M2HD-5-3CT	Mx2HD-5-3CT	HD	CT	HD.CT	NS212	year2018
L5-D-3-3D	L5-D-3-3D	D	D	D.D	NS212	year2018
L5D-3-2CT	L5D-3-2CT	D	CT	D.CT	NS212	year2018
M3CT-11-3HD	Mx3CT-11-3HD	CT	HD	CT.HD	NS212	year2018
L3H-15-1CT	L3H-15-1CT	H	CT	H.CT	NS212	year2018
L2H-8-2CT	L2H-8-2CT	H	CT	H.CT	NS212	year2018
L6CT-8-3H	L6CT-8-3H	CT	H	CT.H	NS212	year2018
M1CT-1-2HD	Mx1CT-1-2HD	CT	HD	CT.HD	NS212	year2018
L6CT-8-1CT	L6CT-8-1CT	CT	CT	CT.CT	NS212	year2018
L6CT-8-3CT	L6CT-8-3CT	CT	CT	CT.CT	NS212	year2018
